2023-10-25 22:13:50,184 INFO    MainThread:66333 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-25 22:13:50,185 INFO    MainThread:66333 [wandb_setup.py:_flush():76] Configure stats pid to 66333
2023-10-25 22:13:50,185 INFO    MainThread:66333 [wandb_setup.py:_flush():76] Loading settings from /Users/simmler/.config/wandb/settings
2023-10-25 22:13:50,185 INFO    MainThread:66333 [wandb_setup.py:_flush():76] Loading settings from /Users/simmler/Semester_project_Tobia_Simmler_rnn/wandb/settings
2023-10-25 22:13:50,185 INFO    MainThread:66333 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-25 22:13:50,185 INFO    MainThread:66333 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-25 22:13:50,185 INFO    MainThread:66333 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/Users/simmler/Semester_project_Tobia_Simmler_rnn/main.py', 'program': '/Users/simmler/Semester_project_Tobia_Simmler_rnn/main.py'}
2023-10-25 22:13:50,185 INFO    MainThread:66333 [wandb_init.py:_log_setup():528] Logging user logs to /Users/simmler/Semester_project_Tobia_Simmler_rnn/wandb/run-20231025_221350-faamjd54/logs/debug.log
2023-10-25 22:13:50,185 INFO    MainThread:66333 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/simmler/Semester_project_Tobia_Simmler_rnn/wandb/run-20231025_221350-faamjd54/logs/debug-internal.log
2023-10-25 22:13:50,185 INFO    MainThread:66333 [wandb_init.py:init():568] calling init triggers
2023-10-25 22:13:50,185 INFO    MainThread:66333 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'dataset_name': 'ctxt', 'n_epochs': 1, 'batch_size': 16, 'total_seq_length': 1400, 'seq_length': 1400, 'training_help': 15, 'hidden_dims': 100, 'n_trials': 5, 'with_inputnoise': 1, 'noise_level': 2, 'coherency_intervals': 'uniform', 'optimizer_name': 'SGD', 'lr': 0.0001, 'betas': [0.9, 0.999], 'eps': 1e-07, 'weight_decay': 0.0001, 'amsgrad': False, 'momentum': 0.9, 'apply_gradient_clipping': 1}
2023-10-25 22:13:50,186 INFO    MainThread:66333 [wandb_init.py:init():618] starting backend
2023-10-25 22:13:50,186 INFO    MainThread:66333 [wandb_init.py:init():622] setting up manager
2023-10-25 22:13:50,188 INFO    MainThread:66333 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-10-25 22:13:50,189 INFO    MainThread:66333 [wandb_init.py:init():628] backend started and connected
2023-10-25 22:13:50,194 INFO    MainThread:66333 [wandb_init.py:init():720] updated telemetry
2023-10-25 22:13:50,212 INFO    MainThread:66333 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-25 22:13:50,834 INFO    MainThread:66333 [wandb_run.py:_on_init():2220] communicating current version
2023-10-25 22:13:51,047 INFO    MainThread:66333 [wandb_run.py:_on_init():2229] got version response 
2023-10-25 22:13:51,048 INFO    MainThread:66333 [wandb_init.py:init():804] starting run threads in backend
2023-10-25 22:13:54,793 INFO    MainThread:66333 [wandb_run.py:_console_start():2199] atexit reg
2023-10-25 22:13:54,793 INFO    MainThread:66333 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-25 22:13:54,793 INFO    MainThread:66333 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-25 22:13:54,793 INFO    MainThread:66333 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-25 22:13:54,794 INFO    MainThread:66333 [wandb_init.py:init():845] run started, returning control to user process
2023-10-25 22:14:00,492 INFO    MainThread:66333 [wandb_run.py:_finish():1934] finishing run benchmarksforgnn/Single-Layer RNN/faamjd54
2023-10-25 22:14:00,492 INFO    MainThread:66333 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2023-10-25 22:14:00,492 INFO    MainThread:66333 [wandb_run.py:_restore():2151] restore
2023-10-25 22:14:00,492 INFO    MainThread:66333 [wandb_run.py:_restore():2157] restore done
2023-10-25 22:14:09,405 INFO    MainThread:66333 [wandb_run.py:_footer_history_summary_info():3599] rendering history
2023-10-25 22:14:09,406 INFO    MainThread:66333 [wandb_run.py:_footer_history_summary_info():3631] rendering summary
2023-10-25 22:14:09,415 INFO    MainThread:66333 [wandb_run.py:_footer_sync_info():3558] logging synced files
