
Using device: cpu

























































































































































































Epoch[500/500], Loss: 4405.2649: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 500/500 [06:13<00:00,  1.34it/s]
--------------- Train ---------------
0 	 0.0695 	 0.0
100 	 0.0678 	 0.0
200 	 0.0692 	 0.0
300 	 0.0699 	 0.0
400 	 0.0698 	 0.0
500 	 0.0693 	 0.0
600 	 0.0686 	 0.0
700 	 0.0795 	 0.0036
800 	 0.0895 	 0.0743
900 	 0.0419 	 0.1303
1000 	 0.0755 	 0.207
1100 	 0.0888 	 0.3513
1200 	 0.0612 	 0.5101
1300 	 0.0698 	 0.6611
-------------------------------------
--------------- Example Test ---------------
0 	 0.0929 	 0.0
100 	 0.0843 	 0.0
200 	 0.0843 	 0.0
300 	 0.0841 	 0.0
400 	 0.0837 	 0.0
500 	 0.0833 	 0.0
600 	 0.0829 	 0.0
700 	 0.0278 	 -0.1495
800 	 0.0683 	 -0.4178
900 	 0.067 	 -0.6484
1000 	 0.0021 	 -0.8609
1100 	 0.0657 	 -1.0
1200 	 0.1032 	 -1.0
1300 	 0.0455 	 -1.0
-------------------------------------
Model last
{'test_loss': [3085.896728515625]}
