
Using device: cpu




















































































































































Epoch[148/300], Loss: 0.0404, Val_L: 0.0412 , EStop:[9/10]:  49%|███████████████████████████████████████████████████████▋                                                         | 148/300 [1:35:45<1:26:47, 34.26s/it]
---- testing with model tiny_hidden_10_one ----
--------------- Example Test ---------------
0 	 -0.0084 	 0.0
10 	 0.0764 	 0.0
20 	 0.0259 	 0.0
30 	 -0.0185 	 0.0
40 	 -0.0157 	 0.0
50 	 -0.038 	 0.0
60 	 -0.0275 	 0.0
70 	 -0.026 	 0.0
80 	 -0.0204 	 0.0
90 	 -0.0328 	 0.0
100 	 0.0012 	 0.0
110 	 0.1112 	 0.0
120 	 0.0641 	 0.0
130 	 0.0552 	 0.0
140 	 0.041 	 0.0
150 	 0.0132 	 0.0
160 	 0.0214 	 0.0
170 	 0.0051 	 0.0
180 	 0.024 	 0.0
190 	 0.0082 	 0.0
200 	 -0.002 	 0.0
210 	 0.0848 	 0.0
220 	 0.1001 	 0.0
230 	 0.0742 	 0.0
240 	 0.0628 	 0.0
250 	 0.0207 	 -0.0252
260 	 0.0347 	 0.0032
270 	 0.0993 	 0.0422
280 	 0.1333 	 0.077
290 	 0.1487 	 0.1115
300 	 -0.0044 	 0.0441
310 	 0.3001 	 0.2215
320 	 0.4451 	 0.2941
330 	 0.5054 	 0.3602
340 	 0.4832 	 0.3303
350 	 0.6178 	 0.4323
360 	 0.6968 	 0.4928
370 	 0.6265 	 0.4101
380 	 0.6005 	 0.3479
390 	 0.5875 	 0.3208
400 	 0.0039 	 0.2404
410 	 0.0338 	 0.1646
420 	 0.0361 	 0.1536
430 	 0.0829 	 0.224
440 	 0.1775 	 0.2965
450 	 0.2201 	 0.3247
460 	 0.1496 	 0.2615
470 	 0.1962 	 0.2954
480 	 0.0669 	 0.1828
490 	 0.1181 	 0.2143
500 	 0.0219 	 0.2667
510 	 0.269 	 0.3282
520 	 0.2094 	 0.2982
530 	 0.2453 	 0.3265
540 	 0.3288 	 0.4086
550 	 0.3638 	 0.4431
560 	 0.3953 	 0.4576
570 	 0.4218 	 0.4584
580 	 0.3447 	 0.3782
590 	 0.4139 	 0.4367
600 	 0.38 	 0.4265
610 	 0.3921 	 0.4159
620 	 0.3487 	 0.4078
630 	 0.2714 	 0.3266
640 	 0.3121 	 0.351
650 	 0.3218 	 0.3458
660 	 0.3421 	 0.3689
670 	 0.2528 	 0.3433
680 	 0.2291 	 0.2915
690 	 0.3102 	 0.4047
700 	 0.343 	 0.4353
710 	 0.3748 	 0.4786
720 	 0.3824 	 0.4595
730 	 0.3477 	 0.4488
740 	 0.4397 	 0.5313
750 	 0.5184 	 0.5968
760 	 0.5963 	 0.6364
770 	 0.589 	 0.6243
780 	 0.6854 	 0.7282
790 	 0.7952 	 0.8843
800 	 0.7906 	 0.8497
810 	 0.8601 	 0.9438
820 	 0.8603 	 0.9019
830 	 0.7624 	 0.8886
840 	 0.8465 	 1.0
850 	 0.8786 	 1.0
860 	 0.8135 	 1.0
870 	 0.8375 	 1.0
880 	 0.848 	 1.0
890 	 0.849 	 1.0
900 	 0.9116 	 1.0
910 	 0.9526 	 1.0
920 	 0.9327 	 1.0
930 	 0.9566 	 1.0
940 	 0.8692 	 1.0
950 	 0.8758 	 1.0
960 	 0.9009 	 1.0
970 	 0.9345 	 1.0
980 	 0.9423 	 1.0
990 	 0.954 	 1.0
-------------------------------------------
Model tiny_hidden_10_one

Epoch[148/300], Loss: 0.0404, Val_L: 0.0412 , EStop:[9/10]:  49%|███████████████████████████████████████████████████████▋                                                         | 148/300 [1:36:34<1:39:10, 39.15s/it]
