2024-01-08 21:40:30,960 INFO    MainThread:29100 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2024-01-08 21:40:30,961 INFO    MainThread:29100 [wandb_setup.py:_flush():76] Configure stats pid to 29100
2024-01-08 21:40:30,961 INFO    MainThread:29100 [wandb_setup.py:_flush():76] Loading settings from C:\Users\tobia\.config\wandb\settings
2024-01-08 21:40:30,961 INFO    MainThread:29100 [wandb_setup.py:_flush():76] Loading settings from C:\Users\tobia\Documents\GitHub\RNN_Tobia_Simmler\wandb\settings
2024-01-08 21:40:30,961 INFO    MainThread:29100 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-08 21:40:30,961 INFO    MainThread:29100 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-08 21:40:30,961 INFO    MainThread:29100 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': 'C:\\Users\\tobia\\Documents\\GitHub\\RNN_Tobia_Simmler\\main.py', 'program': 'C:\\Users\\tobia\\Documents\\GitHub\\RNN_Tobia_Simmler\\main.py'}
2024-01-08 21:40:30,961 INFO    MainThread:29100 [wandb_init.py:_log_setup():524] Logging user logs to C:\Users\tobia\Documents\GitHub\RNN_Tobia_Simmler\wandb\run-20240108_214030-qvk69tjx\logs\debug.log
2024-01-08 21:40:30,961 INFO    MainThread:29100 [wandb_init.py:_log_setup():525] Logging internal logs to C:\Users\tobia\Documents\GitHub\RNN_Tobia_Simmler\wandb\run-20240108_214030-qvk69tjx\logs\debug-internal.log
2024-01-08 21:40:30,961 INFO    MainThread:29100 [wandb_init.py:init():564] calling init triggers
2024-01-08 21:40:30,962 INFO    MainThread:29100 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'dataset_name': 'ctxt', 'n_epochs': 300, 'batch_size': 16, 'total_seq_length': 1000, 'seq_length': 100, 'training_help': 0, 'hidden_dims': 100, 'n_trials': 200, 'with_inputnoise': 1, 'noise_level': 10, 'coherency_intervals': 'uniform', 'optimizer_name': 'adagrad', 'lr': 0.01, 'betas': [0.9, 0.999], 'eps': 1e-07, 'weight_decay': 0, 'amsgrad': False, 'momentum': 0.9, 'apply_gradient_clipping': 1, 'tau': 10.0, 'length_skipped_in_data': 400, 'hidden_noise': 0.1, 'activation_function': 'relu'}
2024-01-08 21:40:30,962 INFO    MainThread:29100 [wandb_init.py:init():614] starting backend
2024-01-08 21:40:30,962 INFO    MainThread:29100 [wandb_init.py:init():618] setting up manager
2024-01-08 21:40:30,963 INFO    MainThread:29100 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-01-08 21:40:30,964 INFO    MainThread:29100 [wandb_init.py:init():624] backend started and connected
2024-01-08 21:40:30,966 INFO    MainThread:29100 [wandb_init.py:init():716] updated telemetry
2024-01-08 21:40:30,990 INFO    MainThread:29100 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-01-08 21:40:31,597 INFO    MainThread:29100 [wandb_run.py:_on_init():2254] communicating current version
2024-01-08 21:40:31,964 INFO    MainThread:29100 [wandb_run.py:_on_init():2263] got version response 
2024-01-08 21:40:31,965 INFO    MainThread:29100 [wandb_init.py:init():800] starting run threads in backend
2024-01-08 21:40:32,056 INFO    MainThread:29100 [wandb_run.py:_console_start():2233] atexit reg
2024-01-08 21:40:32,056 INFO    MainThread:29100 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-08 21:40:32,057 INFO    MainThread:29100 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-08 21:40:32,057 INFO    MainThread:29100 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-08 21:40:32,057 INFO    MainThread:29100 [wandb_init.py:init():841] run started, returning control to user process
2024-01-08 21:40:48,452 WARNING MsgRouterThr:29100 [router.py:message_loop():77] message_loop has been closed
