
Using device: cpu

























































































































































Epoch[153/300], Loss: 0.0080, Val_L: 0.0075 , EStop:[9/10]:  51%|▌| 153/300 [2:51:
---- testing with model eneg2_decay_two ----
--------------- Example Test ---------------
0 	 0.0026 	 0.0
10 	 0.0265 	 0.0
20 	 0.0135 	 0.0
30 	 0.0147 	 0.0
40 	 0.0158 	 0.0
50 	 0.0121 	 0.0
60 	 0.0032 	 0.0
70 	 0.0079 	 0.0
80 	 0.0109 	 0.0
90 	 0.0032 	 0.0
100 	 0.0051 	 0.0
110 	 0.0147 	 0.0
120 	 0.0032 	 0.0
130 	 0.0055 	 0.0
140 	 0.0033 	 0.0
150 	 0.0052 	 0.0
160 	 0.007 	 0.0
170 	 0.0199 	 0.0
180 	 0.0041 	 0.0
190 	 0.0001 	 0.0
200 	 0.0006 	 0.0
210 	 0.0007 	 0.0
220 	 0.008 	 0.0
230 	 0.0027 	 0.0
240 	 -0.0039 	 0.0
250 	 -0.0065 	 0.0042
260 	 0.0344 	 0.0439
270 	 0.0292 	 0.043
280 	 -0.048 	 -0.0337
290 	 0.0074 	 0.0068
300 	 0.0151 	 0.1702
310 	 0.0274 	 0.1593
320 	 0.06 	 0.1936
330 	 0.1261 	 0.2672
340 	 0.039 	 0.1756
350 	 0.102 	 0.2393
360 	 0.116 	 0.253
370 	 0.1955 	 0.3461
380 	 0.1733 	 0.3246
390 	 0.1122 	 0.2588
400 	 0.018 	 0.2788
410 	 0.1262 	 0.3698
420 	 0.1388 	 0.3679
430 	 0.1339 	 0.3657
440 	 0.0276 	 0.2562
450 	 0.082 	 0.3161
460 	 0.1379 	 0.3642
470 	 0.1592 	 0.3883
480 	 0.0645 	 0.2967
490 	 0.0119 	 0.2388
500 	 -0.0022 	 0.2872
510 	 0.0738 	 0.3209
520 	 0.1009 	 0.3544
530 	 0.1733 	 0.4126
540 	 0.2273 	 0.4672
550 	 0.317 	 0.5473
560 	 0.2243 	 0.4647
570 	 0.1612 	 0.4042
580 	 0.2218 	 0.4575
590 	 0.2953 	 0.5203
600 	 0.337 	 0.5652
610 	 0.2977 	 0.5276
620 	 0.3046 	 0.535
630 	 0.1914 	 0.4237
640 	 0.0782 	 0.3102
650 	 0.0805 	 0.3167
660 	 0.1654 	 0.4092
670 	 0.2624 	 0.5168
680 	 0.1849 	 0.4525
690 	 0.0023 	 0.2647
700 	 -0.0777 	 0.1818
710 	 -0.1855 	 0.0804
720 	 -0.1725 	 0.1037
730 	 -0.1511 	 0.1245
740 	 -0.0399 	 0.2342
750 	 -0.0996 	 0.1786
760 	 -0.1526 	 0.1246
770 	 0.0575 	 0.323
780 	 -0.0477 	 0.2138
790 	 0.0147 	 0.2682
800 	 0.0716 	 0.3233
810 	 -0.0007 	 0.259
820 	 -0.0347 	 0.2265
830 	 -0.1336 	 0.1294
840 	 -0.1484 	 0.1197
850 	 -0.1319 	 0.1416
860 	 -0.1053 	 0.1593
870 	 -0.1712 	 0.0974
880 	 -0.1471 	 0.1267
890 	 -0.1072 	 0.1621
900 	 0.0146 	 0.278
910 	 -0.0393 	 0.2244
920 	 -0.1251 	 0.1295
930 	 -0.1374 	 0.1245
940 	 -0.1707 	 0.09
950 	 -0.2552 	 0.0094
960 	 -0.2038 	 0.0671
970 	 -0.2554 	 0.0232
980 	 -0.2349 	 0.0366
990 	 -0.1154 	 0.1471

Epoch[153/300], Loss: 0.0080, Val_L: 0.0075 , EStop:[9/10]:  51%|▌| 153/300 [2:53:
Model eneg2_decay_two
{'test_loss': [0.07746800035238266, 0.13566109538078308, 0.13909168541431427, 0.09236074984073639, 0.14474369585514069, 0.0957619771361351, 0.11884413659572601, 0.058012545108795166, 0.10491661727428436, 0.08296709507703781, 0.11609508842229843, 0.1101660206913948, 0.1451157182455063, 0.1142924576997757]}
